college_name,academic_year,programme,category_or_quota,annual_tuition_inr,semester_tuition_inr,full_programme_tuition_inr,admission_fee_inr,registration_fee_inr,exam_fee_inr,refundable_deposit_inr,annual_hostel_fee_inr,annual_mess_fee_inr,other_compulsory_fee_inr,calculated_four_year_cost_inr,source_id,source_page,notes
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering (Data Science),Indian admissions / published programme fee,475000,,1900000,,10000,,,,,,1910000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Artificial Intelligence and Machine Learning,Indian admissions / published programme fee,475000,,1900000,,10000,,,,,,1910000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Big Data Analytics,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Blockchain Technology,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Cloud Computing,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Computer Networking,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Cyber Security,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Gaming Technology,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering (DevSecOps),Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Information Technology,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Internet of Things,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering with specialization in Software Engineering,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electrical and Electronics Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electronics and Communication Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electronics and Communication Engineering with specialization in Cyber Physical Systems,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electronics and Communication Engineering with specialization in Data Science,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electronics and Computer Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electronics and Instrumentation Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Electronics Engineering (VLSI Design and Technology),Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Mathematics and Computing,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Mechanical Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Mechanical Engineering (Automation and Robotics),Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Mechanical Engineering with specialization in Artificial Intelligence and Machine Learning,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Mechatronics Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Mechatronics Engineering with specialization in Robotics,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Nanotechnology,Indian admissions / published programme fee,400000,,1600000,,10000,,,,,,1610000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – N Block, AC attached, 2 sharing",,,,,,,,200000,73000,,,SRC020,room-fee table,"Official first-year published total INR 273,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Green Pearl off-campus, AC attached, 3 sharing",,,,,,,,145000,125000,,,SRC020,room-fee table,"Official first-year published total INR 270,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – N Block, AC attached, 3 sharing",,,,,,,,180000,73000,,,SRC020,room-fee table,"Official first-year published total INR 253,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Adhiyaman, AC attached, 2 sharing",,,,,,,,170000,73000,,,SRC020,room-fee table,"Official first-year published total INR 243,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Adhiyaman, AC attached, 3 sharing",,,,,,,,160000,73000,,,SRC020,room-fee table,"Official first-year published total INR 233,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Adhiyaman, AC attached, 4 sharing",,,,,,,,150000,73000,,,SRC020,room-fee table,"Official first-year published total INR 223,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Green Pearl off-campus, non-AC attached, 3 sharing",,,,,,,,65000,125000,,,SRC020,room-fee table,"Official first-year published total INR 190,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Oori, AC common, 4/5 sharing",,,,,,,,115000,73000,,,SRC020,room-fee table,"Official first-year published total INR 188,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Adhiyaman, non-AC attached, 3 sharing",,,,,,,,80000,73000,,,SRC020,room-fee table,"Official first-year published total INR 153,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – Kaari, non-AC common, 4/5 sharing",,,,,,,,45000,73000,,,SRC020,room-fee table,"Official first-year published total INR 118,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Boys – JA Block 2 off-campus, non-AC attached, 7 sharing",,,,,,,,37000,73000,,,SRC020,room-fee table,"Official first-year published total INR 110,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Kalpana Chawla, AC attached, 2 sharing",,,,,,,,197000,73000,,,SRC021,room-fee table,"Official first-year published total INR 270,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Kalpana Chawla, AC attached, 4 sharing",,,,,,,,150000,73000,,,SRC021,room-fee table,"Official first-year published total INR 223,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Meenakshi, AC attached, 4 sharing bunker",,,,,,,,140000,73000,,,SRC021,room-fee table,"Official first-year published total INR 213,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Meenakshi, non-AC attached, 3 sharing",,,,,,,,80000,73000,,,SRC021,room-fee table,"Official first-year published total INR 153,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Thamarai, non-AC common, 2 sharing",,,,,,,,60000,73000,,,SRC021,room-fee table,"Official first-year published total INR 133,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Mullai, non-AC common, 3 sharing",,,,,,,,50000,73000,,,SRC021,room-fee table,"Official first-year published total INR 123,000. Booking is subject to availability. Optional laundry is excluded."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,First-year hostel accommodation,"Girls – Senbagam, non-AC common, 6 sharing",,,,,,,,45000,73000,,,SRC021,room-fee table,"Official first-year published total INR 118,000. Booking is subject to availability. Optional laundry is excluded."
