college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"SRM Institute of Science and Technology, Kattankulathur",Siemens,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",PayPal,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Accenture,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Capgemini,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Hewlett Packard,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",D. E. Shaw India,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",TCS,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Infosys,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Cognizant,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Wipro,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",ABB,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Larsen & Toubro,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Ford,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Schneider Electric,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Renault Nissan,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Hindustan Unilever,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Reliance,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Yamaha Motors,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Royal Enfield,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Deloitte,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
