college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"National Institute of Technology, Warangal",2024-25,B.Tech.,BT,branch-specific eligible campus-placement participants,77,53,,33,62.26,,8,9.26,20.0,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,Overall,overall eligible campus-placement participants,,806,,697,86.48,,,,64.3,,,,,,college placement-cell reported,SRC012,1,Overall UG eligible and placed totals reconstructed from the source branch table; source notes off-campus and higher-studies outcomes separately.
"National Institute of Technology, Warangal",2023-24,B.Tech.,CE,branch-specific eligible campus-placement participants,109,79,,58,73.42,,8.99,9.14,18.0,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,EEE,branch-specific eligible campus-placement participants,143,111,,90,81.08,,14,16.7,52.89,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,ME,branch-specific eligible campus-placement participants,146,122,,101,82.79,,12,13.59,34.1,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,ECE,branch-specific eligible campus-placement participants,161,118,,101,85.59,,16.15,20.58,88.0,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,MME,branch-specific eligible campus-placement participants,68,57,,38,66.67,,13.65,11.98,23.0,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,CHE,branch-specific eligible campus-placement participants,116,86,,75,87.21,,11.88,12.54,34.0,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,CSE,branch-specific eligible campus-placement participants,166,132,,118,89.39,,24,29.67,63.5,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,BT,branch-specific eligible campus-placement participants,72,54,,24,44.44,,13,10.95,17.65,,,,,,college placement-cell reported,SRC013,1,Source reports Max CTC; domestic/international distinction is not stated.
"National Institute of Technology, Warangal",2023-24,B.Tech.,Overall,overall eligible campus-placement participants,981,759,,605,79.71,,,,88.0,,,,,,college placement-cell reported,SRC013,1,Scope differs from NIRF graduating cohort and is preserved separately.
